dataset,split,label,count
AI-Generated-vs-Real-Images,train,REAL,57227
AI-Generated-vs-Real-Images,train,FAKE,57228
AI-Generated-vs-Real-Images,test,REAL,14309
AI-Generated-vs-Real-Images,test,FAKE,14309
AI-vs-Real,train,REAL,2666
AI-vs-Real,train,FAKE,2666
AI-vs-Real,test,REAL,667
AI-vs-Real,test,FAKE,667
CIFAKE,train,REAL,50000
CIFAKE,train,FAKE,50000
CIFAKE,test,REAL,10000
CIFAKE,test,FAKE,10000
Defactify_Image_Dataset,train,REAL,7000
Defactify_Image_Dataset,train,FAKE,7000
Defactify_Image_Dataset,test,REAL,7500
Defactify_Image_Dataset,test,FAKE,7500
NB_AI-vs-Real,train,REAL,8532
NB_AI-vs-Real,train,FAKE,2667
NB_AI-vs-Real,test,REAL,2000
NB_AI-vs-Real,test,FAKE,666
NB_Defactify_Image_Dataset,train,REAL,7000
NB_Defactify_Image_Dataset,train,FAKE,30000
NB_Defactify_Image_Dataset,test,REAL,1585
NB_Defactify_Image_Dataset,test,FAKE,3000
